Abelmoschus esculentus	Piżmian jadalny
Veronica chamaedrys	Przetacznik ożankowy
Veronica fruticans	Przetacznik krzewinkowy
Veronica fruticulosa	Przetacznik rozkrzewiony
Veronica hederifolia	Przetacznik bluszczykowy
Veronica longifolia	Przetacznik długolistny
Veronica montana	Przetacznik górski
Veronica officinalis	Przetacznik leśny
Veronica paniculata	Przetacznik zwodny
Veronica persica	Przetacznik perski
Veronica praecox	Przetacznik wczesny
Veronica prostrata	Przetacznik rozesłany
Veronica scutellata	Przetacznik błotny
Veronica serpyllifolia	Przetacznik macierzankowy
Veronica spicata	Przetacznik kłosowy
Veronica teucrium	Przetacznik pagórkowy
Veronica triphyllos	Przetacznik trójlistkowy
Veronica urticifolia	Przetacznik pokrzywolistny
Vesicularia dubyana	Mech jawajski
Viburnum lantana	Kalina hordowina
Viburnum opulus	Kalina koralowa
Viburnum rhytidophyllum	Kalina sztywnolistna
Viburnum tinus	Kalina wawrzynowata
Vicia cassubica	Wyka kaszubska
Vicia cracca	Wyka ptasia
Vicia dumetorum	Wyka zaroślowa
Vicia ervilia	Wyka soczewicowata
Vicia faba	Wyka bób
Vicia grandiflora	Wyka brudnożółta
Vicia sativa	Wyka siewna
Vicia sativa subsp. nigra	Wyka wąskolistna
Vicia sepium	Wyka płotowa
Vicia sylvatica	Wyka leśna
Vicia villosa	Wyka kosmata
Victoria regia	Wiktoria królewska
Vigna unguiculata	Wspięga wężowata
Vinca minor	Barwinek pospolity
Vincetoxicum hirundinaria	Ciemiężyk białokwiatowy
Viola alba	Fiołek biały
Viola alpina	Fiołek alpejski
Viola arvensis	Fiołek polny
Viola biflora	Fiołek dwukwiatowy
Viola canina	Fiołek psi
Viola collina	Fiołek pagórkowy
Viola cornuta	Fiołek rogaty
Viola dacica	Fiołek dacki
Viola elatior	Fiołek wyniosły
Viola epipsila	Fiołek torfowy
Viola hirta	Fiołek kosmaty
Viola kitaibeliana	Fiołek Kitaibela
Viola labradorica	Fiołek labradorski
Viola lutea subsp. sudetica	Fiołek żółty sudecki
Viola mirabilis	Fiołek przedziwny
Viola odorata	Fiołek wonny
Viola palmata	Fiołek dłoniasty
Viola palustris	Fiołek błotny
Viola persicifolia	Fiołek mokradłowy
Viola pumila	Fiołek drobny
Viola reichenbachiana	Fiołek leśny
Viola riviniana	Fiołek Rivina
Viola rupestris	Fiołek skalny
Viola sororia	Fiołek motylkowy
Viola suavis	Fiołek bławatkowy
Viola tricolor	Fiołek trójbarwny
Viola uliginosa	Fiołek bagienny
Viola ×wittrockiana	Fiołek ogrodowy
Viscum album	Jemioła pospolita
Vitaliana primuliflora	Pierwiośnik górski
Vitex agnus-castus	Niepokalanek pospolity
Vitis coignetiae	Winorośl japońska
Vitis labrusca	Winorośl lisia
Vitis vinifera	Winorośl właściwa
Vulpia bromoides	Wulpia stokłosowata
Vulpia myuros	Wulpia mysi ogon
Waldsteinia ternata	Pragnia syberyjska
Washingtonia filifera	Waszyngtonia nitkowata
Weissia brachycarpa	Potłumek przeponiec
Weissia controversa	Potłumek zielonawy
Weissia longifolia	Potłumek trwałowieczek
Wisteria floribunda	Glicynia japońska
Wisteria sinensis	Glicynia chińska
Wolffia arrhiza	Wolfia bezkorzeniowa
Woodsia alpina	Rozrzutka alpejska
Woodsia ilvensis	Rozrzutka brunatna
Xanthium spinosum	Rzepień kolczasty
Xanthium strumarium	Rzepień pospolity
Xanthoceras sorbifolium	Kasztanek jarzębolistny
Xanthorhiza simplicissima	Xanthorhiza simplicissima
Xeranthemum annuum	Suchokwiat roczny
Xerochrysum bracteatum	Kocanki ogrodowe
Yucca filamentosa	Jukka karolińska
Yucca guatemalensis	Jukka gwatemalska
Zannichellia palustris	Zamętnica błotna
Zantedeschia aethiopica	Cantedeskia etiopska
Zea mays	Kukurydza zwyczajna
Zelkova carpinifolia	Brzostownica kaukaska
Zelkova serrata	Brzostownica japońska
Zilla macroptera	Zilla macroptera
Zingiber officinale	Imbir lekarski
Zinnia elegans	Cynia wytworna
Zizania aquatica	Zizania wodna
Ziziphus jujuba	Głożyna pospolita
Ziziphus lotus	Głożyna afrykańska
Zostera marina	Zostera morska
