Abelmoschus esculentus	Piżmian jadalny
Cabomba palaeformis	Cabomba palaeformis
Cakile edentula	Cakile edentula
Cakile maritima	Rukwiel nadmorska
Calamagrostis arundinacea	Trzcinnik leśny
Calamagrostis canescens	Trzcinnik lancetowaty
Calamagrostis epigeios	Trzcinnik piaskowy
Calamagrostis pseudophragmites	Trzcinnik szuwarowy
Calamagrostis stricta	Trzcinnik prosty
Calamagrostis varia	Trzcinnik pstry
Calamagrostis villosa	Trzcinnik owłosiony
Caldesia parnassifolia	Kaldezja dziewięciornikowata
Calendula officinalis	Nagietek lekarski
Calla palustris	Czermień błotna
Callianthemum coriandrifolium	Rutewnik jaskrowaty
Callisia fragrans	Callisia fragrans
Callistemon citrinus	Kuflik cytrynowy
Callistephus chinensis	Aster chiński
Callitriche cophocarpa	Rzęśl długoszyjkowa
Callitriche hamulata	Rzęśl hakowata
Callitriche hermaphroditica	Rzęśl jesienna
Callitriche palustris	Rzęśl wiosenna
Callitriche platycarpa	Rzęśl płaskoowockowa
Callitriche stagnalis	Rzęśl wielkoowockowa
Calluna vulgaris	Wrzos zwyczajny
Calocedrus decurrens	Cedrzyniec kalifornijski
Calotropis gigantea	Mleczara olbrzymia
Calotropis procera	Mleczara wyniosła
Caltha palustris	Knieć błotna
Calycanthus floridus	Kielichowiec wonny
Calystegia sepium	Kielisznik zaroślowy
Camassia leichtlinii	Kamasja Leichtlina
Camelina alyssum	Lnicznik właściwy
Camelina microcarpa	Lnicznik drobnoowocowy
Camelina sativa	Lnicznik siewny
Camellia japonica	Kamelia japońska
Camellia sasanqua	Kamelia mała
Campanula alpina	Dzwonek alpejski
Campanula barbata	Dzwonek brodaty
Campanula bohemica	Dzwonek karkonoski
Campanula bononiensis	Dzwonek boloński
Campanula carpatica	Dzwonek karpacki
Campanula cervicaria	Dzwonek szczeciniasty
Campanula cochleariifolia	Dzwonek drobny
Campanula glomerata	Dzwonek skupiony
Campanula hofmannii	Zrostka Hofmanna
Campanula latifolia	Dzwonek szerokolistny
Campanula medium	Dzwonek ogrodowy
Campanula patula	Dzwonek rozpierzchły
Campanula persicifolia	Dzwonek brzoskwiniolistny
Campanula rapunculoides	Dzwonek jednostronny
Campanula rapunculus	Dzwonek rapunkuł
Campanula rotundifolia	Dzwonek okrągłolistny
Campanula scheuchzeri	Dzwonek Scheuchzera
Campanula serrata	Dzwonek piłkowany
Campanula sibirica	Dzwonek syberyjski
Campanula tatrae	Dzwonek wąskolistny
Campanula trachelium	Dzwonek pokrzywolistny
Campsis radicans	Milin amerykański
Campylopus fragilis	Krzywoszczeć krucha
Campylopus pyriformis	Krzywoszczeć torfowa
Canna generalis	Paciorecznik ogrodowy
Canna indica	Paciorecznik indyjski
Cannabis sativa	Konopie siewne
Capparis spinosa	Kapary cierniste
Capsella bursa-pastoris	Tasznik pospolity
Capsicum annuum	Papryka roczna
Caragana arborescens	Karagana syberyjska
Caragana frutex	Karagana podolska
Cardamine amara	Rzeżucha gorzka
Cardamine bulbifera	Żywiec cebulkowy
Cardamine enneaphyllos	Żywiec dziewięciolistny
Cardamine flexuosa	Rzeżucha leśna
Cardamine glanduligera	Żywiec gruczołowaty
Cardamine hirsuta	Rzeżucha włochata
Cardamine impatiens	Rzeżucha niecierpkowa
Cardamine parviflora	Rzeżucha drobnokwiatowa
Cardamine pratensis	Rzeżucha łąkowa
Cardamine pratensis subsp. paludosa	Rzeżucha bagienna
Cardamine resedifolia	Rzeżucha rezedolistna
Cardamine trifolia	Rzeżucha trójlistkowa
Cardaminopsis petraea	Rzeżusznik skalny
Carduus acanthoides	Oset nastroszony
Carduus collinus	Oset pagórkowy
Carduus crispus	Oset kędzierzawy
Carduus defloratus	Oset bezkwiatowy
Carduus glaucus	Oset siny
Carduus nutans	Oset zwisły
Carduus personata	Oset łopianowaty
Carduus ×lobulatus	Oset klapowany
Carex acuta	Turzyca zaostrzona
Carex acutiformis	Turzyca błotna
Carex alba	Turzyca biała
Carex appropinquata	Turzyca tunikowa
Carex arenaria	Turzyca piaskowa
Carex atherodes	Turzyca oścista
Carex atrata	Turzyca czarniawa
Carex bigelowii	Turzyca tęga
Carex bigelowii subsp. dacica	Turzyca dacka
Carex bohemica	Turzyca ciborowata
Carex brachystachys	Turzyca krótkokłosa
Carex brizoides	Turzyca drżączkowata
Carex brunnescens	Turzyca brunatna
Carex buekii	Turzyca Bueka
Carex buxbaumii	Turzyca Buxbauma
Carex canescens	Turzyca siwa
Carex capillaris	Turzyca włosowata
Carex caryophyllea	Turzyca wiosenna
Carex cespitosa	Turzyca darniowa
Carex chordorrhiza	Turzyca strunowa
Carex davalliana	Turzyca Davalla
Carex diandra	Turzyca obła
Carex digitata	Turzyca palczasta
Carex dioica	Turzyca dwupienna
Carex disperma	Turzyca szczupła
Carex disticha	Turzyca dwustronna
Carex divulsa	Turzyca rozsunięta
Carex echinata	Turzyca gwiazdkowata
Carex elata	Turzyca sztywna
Carex elongata	Turzyca długokłosa
Carex ericetorum	Turzyca wrzosowiskowa
Carex extensa	Turzyca wyciągnięta
Carex firma	Turzyca mocna
Carex flava	Turzyca żółta
Carex fuliginosa	Turzyca przydymiona
Carex globularis	Turzyca kulista
Carex hartmanii	Turzyca Hartmana
Carex heleonastes	Turzyca torfowa
Carex hirta	Turzyca owłosiona
Carex hostiana	Turzyca Hosta
Carex humilis	Turzyca niska
Carex lachenalii	Turzyca Lachenala
Carex lasiocarpa	Turzyca nitkowata
Carex leporina	Turzyca zajęcza
Carex ligerica	Turzyca loarska
Carex limosa	Turzyca bagienna
Carex loliacea	Turzyca życicowa
Carex magellanica	Turzyca patagońska
Carex melanostachya	Turzyca ciemnokłosa
Carex michelii	Turzyca Michela
